tt0106519Carlito's Way                                                                                                           No                       Testosterone
tt0056923Charade                                                                                                                 No                       Comedy
tt0070016Charlotte's Web                                                                                                         Yes       Good           Family
tt0090830Children of a Lesser God                                                                                                No                       Estrogen
tt0062803Chitty Chitty Bang Bang                                                                                                 Yes       Good           Family
tt0241303Chocolat                                                                                                                No                       Estrogen
tt0101587City Slickers                                                                                                           Yes       Good           Comedy
         Classic Scooby-Doo: Foul Play in Funland                                                                                Yes       Good           Family
tt0106582Cliffhanger                                                                                                             Yes       Good           Testosterone
tt0112697Clueless                                                                                                                Yes       Good           Comedy
tt0094889Cocktail                                                                                                                Yes       Good           Comedy
tt0061496Columbo The Collector's Edition Prescription: Murder                                                                    Yes       Good           Mystery
tt0118880Con Air                                                                                                                 Yes       Good           Testosterone
tt0068397Coumbo The Collecor's Edition Death Lends a Hand                                                                        Yes       Good           Mystery
tt0093042"Crazy Streets(Forever                                                                                                   Lulu?)"  No
tt0099348Dances with Wolves                                                                                                      Yes                      Testosterone
tt0106673Dave                                                                                                                    Yes                      Comedy
tt0099371Days of Thunder                                                                                                         Maybe                    Testosterone
tt0097165Dead Poets Society                                                                                                      Yes       Good           Comedy
tt0099423Die Hard 2: Die Harder                                                                                                  Maybe                    Testosterone
tt0112864Die Hard With a Vengeance                                                                                               Maybe                    Testosterone
tt0092890Dirty Dancing                                                                                                           Yes       Good           Estrogen
tt0095031Dirty Rotten Scoundrels                                                                                                 Maybe                    Comedy
tt0109635Disclosure                                                                                                              Maybe                    Drama
tt0120623Disney Pixar A Bug's Life                                                                                               No                       Disney
         Disney Present The Cat from Outer Space                                                                                 Yes                      Disney
tt0118570Disney Presents Air Bud: Golden Receiver                                                                                No                       Disney
tt0066817Disney's Bedknobs and Broomsticks                                                                                       Yes       Good           Disney
         Disney's Duck Tailes: Raiders of the Lost Harp                                                                          Yes       Meh            Disney
         Disney's Duck Tales: High-flying Hero                                                                                   Yes       Meh            Disney
         Disney's Duck Tales: Masked Marauders                                                                                   Yes                      Disney
         Disney's Duck Tales: Seafaring Sailors                                                                                  Yes       Meh            Disney
tt0119137Disney's Flubber                                                                                                        Maybe                    Disney
tt0119190Disney's George of the Jungle                                                                                           Yes                      Disney
tt0110213Disney's Rudyard Kipling's The Jungle Book                                                                              No                       Disney
tt0111070Disney's The Santa Clause                                                                                               Yes                      Christmas
tt0059113Doctor Zhivago                                                                                                          No                       Testosterone
tt0150377Double Jeopardy                                                                                                         No                       Mystery
tt0116130Down Periscope                                                                                                          Yes       Good           Comedy
tt0118998Dr. Dolittle                                                                                                            Yes       Good           Comedy
tt0240462Dr. Dolittle 2                                                                                                          No                       Comedy
tt0060345Dr. Seuss' How the Grinch Stole Christmas!                                                                              Yes       Good           Christmas
tt0109686Dumb and Dumber                                                                                                         Yes       Good           Comedy
tt0083866E. T.: The Extra-Terrestrial                                                                                            Yes       Good           SciFi
tt0131369EDtv                                                                                                                    No                       Comedy
tt0127536Elizabeth                                                                                                               No                       Drama
tt0075988Emmet Otter's Jug-Band Christmas                                                                                        No                       Family
tt0120660Enemy of the State                                                                                                      Maybe                    Testosterone
tt0116213Eraser                                                                                                                  No                       Testosterone
tt0195685Erin Brockovich                                                                                                         Maybe                    Drama
tt0120662Eye of the Beholder                                                                                                     No                       Mystery
tt0119094Face/Off                                                                                                                Yes                      Testosterone
tt0113010Fair Game                                                                                                               No                       Testosterone
tt0119099Fallen                                                                                                                  Yes                      Testosterone
tt0104231Far and Away                                                                                                            Yes       Good           Testosterone
tt2802850Fargo                                                                                                                   Yes       Good           Drama
tt0113041Father of the Bride: Part II                                                                                            Maybe                    Comedy
tt0104254Ferngully: The Last Rainforest                                                                                          Yes       Good           Family
tt0067093Fiddler on the Roof                                                                                                     Yes       Good           Musical
tt0097351Field of Dreams                                                                                                         Maybe                    Testosterone
tt0099582Flatliners                                                                                                              Yes                      SciFi
tt0035896For Whom the Bell Tolls                                                                                                 No                       Testosterone
tt0141098Forces of Nature                                                                                                        No                       Comedy
tt0104291Forever Young                                                                                                           Yes                      SciFi
tt0109830Forrest Gump                                                                                                            Yes       Good           Estrogen
tt0101921Fried Green Tomatoes                                                                                                    Yes                      Drama
tt0062994Funny Girl                                                                                                              No                       Musical
tt0099653Ghost                                                                                                                   Yes       Good           Estrogen
tt0047030Glenn Miller                                                                                                            No                       Drama
tt0120683Gloria                                                                                                                  No                       Testosterone
tt0197521Godzilla King of the Monsters                                                                                           Maybe                    SciFi
tt0068371Godzilla Vs. Gigan                                                                                                      Maybe                    SciFi
tt0071565Godzilla Vs. Mechagodzilla                                                                                              Maybe                    SciFi
tt0070122Godzilla Vs. Megalon                                                                                                    Yes       GoodBad        SciFi
tt0031381Gone with the Wind                                                                                                      No                       Estrogen
tt0119217Good Will Hunting                                                                                                       Yes       Good           Estrogen
tt0101969Grand Canyon                                                                                                            No                       Testosterone
tt0077631Grease                                                                                                                  Yes       Good           Musical
tt0107050Grumpy Old Men                                                                                                          Yes       Good           Comedy
         Hanna Barbera Presents Scooby Doo with Special Guest Stars Batman and Robin                                             Yes                      Family
tt0042546Harvey                                                                                                                  No                       Comedy
tt0091203Highlander                                                                                                              Yes       Good           Fantasy
tt0144964Highlander: Endgame                                                                                                     No                       Fantasy
tt0099785Home Alone                                                                                                              Yes       Meh            Family
tt0104431Home Alone 2: Lost in New York                                                                                          Yes       Meh            Family
tt0102057Hook                                                                                                                    Yes       Good           Family
tt0119313Hope Floats                                                                                                             No                       Estrogen
tt0268380Ice Age                                                                                                                 Yes       Good           Family
tt0107211Indecent Proposal                                                                                                       Yes                      Estrogen
tt0116629Independence Day                                                                                                        Yes       Good           SciFi
tt0128278Instinct                                                                                                                No                       Drama
tt0034862Irving Berlin's Holiday Inn                                                                                             No                       Comedy
tt0047673Irving Berlin's White Christmas                                                                                         Yes       Good           Christmas
tt0110167It Could Happen to You                                                                                                  No                       Comedy
tt0038650It's a Wonderful Life                                                                                                   Yes       Good           Christmas
tt0141109Jack Frost                                                                                                              No                       Family
tt0068762Jeremiah Johnson                                                                                                        No                       Testosterone
tt0116695Jerry Maguire                                                                                                           Yes       Good           Testosterone
tt0116705Jingle All the Way                                                                                                      Yes       Cheese         Christmas
tt0175790Joseph and the Amazing Technicolor Dreamcoat                                                                            Yes       Good           Musical
tt0113497Jumanji                                                                                                                 Yes       Good           Family
tt0107290Jurrasic Park                                                                                                           Yes       Good           Testosterone
tt0349710Ladder 49                                                                                                               No                       Testosterone
tt0110322Legends of the Fall                                                                                                     No                       Testosterone
tt0093409Lethal Weapon                                                                                                           Yes       Good           Testosterone
tt0122151Lethal Weapon 4                                                                                                         Maybe                    Testosterone
tt0119528Liar Liar                                                                                                               Yes       Good           Comedy
tt0118799Life is Beautiful                                                                                                       No                       Comedy
tt0039566Life With Father                                                                                                        No                       Comedy
         Little House on the Prairie: A Harvest of Friends                                                                       Maybe                    Family
         Little House on the Prairie: Christmas at Plum Creek                                                                    Maybe                    Christmas
         Little House on the Prairie: Premiere Movie                                                                             Maybe                    Family
         Little House on the Prairie: The Christmas They Never Forgot                                                            Maybe                    Christmas
tt0110367Little Women                                                                                                            No                       Family
tt0120738Lost in Space                                                                                                           Yes       Good           SciFi
tt0066011Love Story                                                                                                              No                       Estrogen
tt0175880Magnolia                                                                                                                Yes                      Drama
tt0290002Meet The Fockers                                                                                                        Yes                      Comedy
tt0212338Meet the Parents                                                                                                        Yes                      Comedy
tt0119654Men in Black                                                                                                            Yes       Good           SciFi
tt0130121Mickey Blue Eyes                                                                                                        No                       Comedy
tt0110516Milk Money                                                                                                              No                       Comedy
tt0097050Milo and Otis                                                                                                           Maybe                    Family
tt0039628Miracle on 34th Street                                                                                                  Yes       Good           Christmas
tt0212346Miss Congeniality                                                                                                       Yes                      Comedy
tt0117060Mission: Impossible                                                                                                     Yes       Good           Testosterone
tt0107614Mrs. Doubtfire                                                                                                          Yes       Good           Comedy
tt0119731Murder at 1600                                                                                                          No                       Testosterone
tt0171546Murder in a Small Town                                                                                                  No                       Mystery
tt0259446My Big Fat Greek Wedding                                                                                                Yes                      Comedy
tt0058385My Fair Lady                                                                                                            No                       Musical
tt0077975National Lampoon's Animal House                                                                                         Yes       Good           Comedy
tt0097958National Lampoon's Christmas Vacation                                                                                   Yes       Good           Christmas
tt0110638Nell                                                                                                                    Yes                      Drama
tt0125439Notting Hill                                                                                                            Yes                      Comedy
tt0144528Nutty Professor II: The Klumps                                                                                          Yes                      Comedy
tt0240772Ocean's Eleven                                                                                                          No                       Testosterone
tt0132477October Sky                                                                                                             No                       Family
tt0048445Oklahoma!                                                                                                               No                       Musical
tt0102614Out for Justice                                                                                                         No                       Testosterone
tt0089755Out of Africa                                                                                                           No                       Estrogen
tt0120780Out of Sight                                                                                                            No                       Comedy
tt0119848Out to Sea                                                                                                              No                       Comedy
tt0093693Overboard                                                                                                               Yes                      Comedy
tt0078056Paradise Alley                                                                                                          No                       Testosterone
tt0105104Passenger 57                                                                                                            No                       Testosterone
tt0223897Pay It Forward                                                                                                          Yes                      Family
tt0213149Pearl Harbor                                                                                                            No                       Testosterone
tt0079714Phantasm                                                                                                                Yes                      SciFi
tt0117333Phenomenon                                                                                                              No                       Fantasy
tt0107818Philadelphia                                                                                                            Yes       Good           Drama
tt0190641Pokémon: The First Movie                                                                                               No        Good           Family
tt0183659Pollock                                                                                                                 No                       Drama
tt0100395Postcards From the Edge                                                                                                 No                       Comedy
tt0098115Prancer                                                                                                                 No                       Christmas
tt0100403Predator 2                                                                                                              Yes       Good           SciFi
tt0100405Pretty Woman                                                                                                            Yes                      Comedy
tt0316465Radio                                                                                                                   No                       Testosterone
tt0082971Raiders of the Lost Ark                                                                                                 Yes       Best Movie EverTestosterone
tt0095953Rain Man                                                                                                                Yes                      Drama
tt0117438Ransom                                                                                                                  No                       Testosterone
tt0102768Regarding Henry                                                                                                         Yes       Bad            Estrogen
tt0253556Reign of Fire                                                                                                           No                       Testosterone
tt0086190Return of the Jedi Special Edition`                                                                                     Yes       Good           Fantasy
tt0270606Richard Simmons: Sweat & Shout                                                                                          No                       Exercise
tt0270678Richard Simmons: Sweatin' to the Oldies                                                                                 Yes       Good           Exercise
tt0045094Road to Bali                                                                                                            No                       Comedy
tt0070608Robin Hood                                                                                                              Yes       Good           Disney
tt0102798Robin Hood Prince of Thieves                                                                                            Yes       Good           Testosterone
tt0108002Rudy                                                                                                                    Yes       Good           Testosterone
tt0114319Sabrina                                                                                                                 No                       Comedy
tt0304669Santa Clause 2                                                                                                          Yes       Meh            Christmas
tt0076666Saturday Night Fever                                                                                                    Yes                      Drama
tt0500100Saturday Night Live The Best of Chris Farley                                                                            No                       Comedy
tt0120815Saving Private Ryan                                                                                                     Yes       Good           Testosterone
tt0105323Scent of a Woman                                                                                                        Yes                      Drama
tt0108052Schindler's List                                                                                                        Yes       Good           Drama
         Scholastic's The Magic School Bus: Getting Energized Using New Energy Sources                                           No                       Family
tt0267913Scooby-Doo                                                                                                              Yes       Good           Comedy
tt0166792Scooby-Doo on Zombie Island                                                                                             Yes       Good           Family
tt0096061Scrooged                                                                                                                Yes       Good           Christmas
tt0114388Sense and Sensibility                                                                                                   No                       Estrogen
tt0117608Sgt. Bilko                                                                                                              No                       Comedy
tt0108052Shindler's List                                                                                                         Yes       Good           Drama
tt0126029Shrek                                                                                                                   Yes       Good           Family
tt0090022Silverado                                                                                                               No                       Testosterone
tt0105417Sister Act                                                                                                              Yes       Good           Comedy
tt0108147Sister Act 2: Back in the Habit                                                                                         Yes       Good           Comedy
tt0102945Sleeping with the Enemy                                                                                                 Yes       Meh            Drama
tt0108160Sleepless in Seattle                                                                                                    Yes                      Comedy
tt0122718Small Soldiers                                                                                                          Yes                      Family
tt0337741Something's Gotta Give                                                                                                  Maybe                    Comedy
tt0081534Somewhere in Time                                                                                                       Yes       Meh            Fantasy
tt0108185Sommersby                                                                                                               No                       Mystery
tt0052225South Pacific                                                                                                           No                       Musical
tt0111257Speed                                                                                                                   Yes       Good           Testosterone
tt0092005Stand By Me                                                                                                             Yes       Good           Drama
tt0117731Star Trek First Contact                                                                                                 Yes       Good           SciFi
tt0111280Star Trek Generations                                                                                                   Yes       Good           SciFi
tt0120844Star Trek Insurrection                                                                                                  Prolly?                  SciFi
tt0092007Star Trek IV: The Voyage Home                                                                                           Yes       Good           SciFi
tt0079945Star Trek The Motion Picture                                                                                            Yes       Meh            SciFi
tt0076759Star Wars Special Edition                                                                                               Yes       Good           Fantasy
tt0120686Stepmom                                                                                                                 No                       Comedy
tt0111400Terminal Velocity                                                                                                       Yes       Good           Testosterone
tt0043265The African Queen                                                                                                       Yes                      Testosterone
tt0112346The American President                                                                                                  No                       Comedy
tt0118632The Apostle                                                                                                             No                       Drama
         The Baby-Sitters Club Video #1: Mary Anne and the Brunettes                                                             No                       Family
tt0185937The Blair Witch Project                                                                                                 Yes       Bad            Mystery
tt0145681The Bone Collector                                                                                                      No                       Mystery
tt0209958The Cell                                                                                                                No                       SciFi
tt0080684The Empire Strikes Back Special Edition                                                                                 Yes       Good           Fantasy
tt0218967The Family Man                                                                                                          No                       Comedy
tt0106918The Firm                                                                                                                Yes                      Mystery
tt0116313The First Wives Club                                                                                                    No                       Comedy
tt0106977The Fugitive                                                                                                            Yes                      Testosterone
tt0116421The Glimmer Man                                                                                                         No                       Testosterone
tt0095253The Great Outdoors                                                                                                      No                       Comedy
tt0120689The Green Mile                                                                                                          Yes       Good           Fantasy
tt0102266The Last Boyscout                                                                                                       No                       Testosterone
tt0063227The Lion in Winter                                                                                                      No                       Drama
tt0119567The Lost World: Jurassic Park                                                                                           Maybe                    Testosterone
tt0268995The Majestic                                                                                                            No                       Estrogen
tt0120616The Mummy                                                                                                               Yes       Good           Testosterone
tt0104940The Muppet Christmas Carol                                                                                              Yes       Good           Christmas
tt0120768The Negotiator                                                                                                          No                       Testosterone
tt0117218The Nutty Professor                                                                                                     Yes                      Comedy
tt0203408The Omega Code                                                                                                          No                       Fantasy
tt0187393The Patriot                                                                                                             Maybe                    Testosterone
tt0107798The Pelican Brief                                                                                                       Yes                      Mystery
tt0177971The Perfect Storm                                                                                                       No                       Testosterone
tt0120802The Red Violin                                                                                                          No                       Mystery
tt0138749The Road to El Dorado                                                                                                   Yes                      Family
tt0117500The Rock                                                                                                                Maybe                    Testosterone
tt0134067The Rugrats Movie                                                                                                       Yes       Meh            Family
tt0111161The Shawshank Redemption                                                                                                Yes       Good           Drama
tt0093966The Sicilian                                                                                                            No                       Testosterone
tt0059742The Sound of Music                                                                                                      Yes       Good           Musical
tt0108311The Temp                                                                                                                Maybe                    Drama
tt0155267The Thomas Crown Affair                                                                                                 No                       Testosterone
tt0129387There's Something About Mary                                                                                            Yes                      Comedy
tt0098471Three Fugitives                                                                                                         No                       Comedy
tt0094137Three Men and a Baby                                                                                                    Yes                      Comedy
tt0098966Three Men and a Little Lady                                                                                             Yes       Meh            Comedy
tt0094142Throw Momma from the Train                                                                                              Yes                      Comedy
tt0107688Tim Burtons' The Nightmare Before Christmas                                                                             Yes       Good           Christmas
tt0117918Tin Cup                                                                                                                 No                       Testosterone
tt0120338Titanic                                                                                                                 Yes                      Estrogen
tt0114709Toy Story                                                                                                               Yes       Good           Disney
tt0120363Toy Story 2                                                                                                             Yes       Good           Disney
tt0111477Trapped in Paradise                                                                                                     No                       Comedy
tt0259685Tremors 3: Back to Perfection                                                                                           No                       Testosterone
tt0120373Trial and Error                                                                                                         No                       Comedy
tt0098536Turner & Hooch                                                                                                          Yes       Meh            Comedy
tt0096321Twister                                                                                                                 Yes       Good           Testosterone
tt0141926U-571                                                                                                                   No                       Testosterone
tt0176269Universal Soldier: The Return                                                                                           Yes       Goodbad        Testosterone
         Wallace & Gromit: A Close Shave                                                                                         No                       Family
         Walt Disney Cartoon Classics Donald's Scary Tales                                                                       No                       Disney
tt0109127Walt Disney Pictures Presents Angels in the Outfield                                                                    Yes       Meh            Disney
tt0120910Walt Disney Pictures Presents Fantasia 2000                                                                             No                       Disney
tt0311289Walt Disney Pictures Presents Holes                                                                                     Yes       Good           Disney
tt0210945Walt Disney Pictures Presents Remember the Titans                                                                       No                       Disney
tt0095993Walt Disney Pictures Presents Return to Snowy River                                                                     No                       Disney
tt7587890Walt Disney Pictures Presents The Rookie                                                                                Yes                      Disney
tt0107131Walt Disney Presents Homeward Bound: The Incredible Journey                                                             Maybe                    Disney
tt0033563Walt Disney's Classic Dumbo                                                                                             Yes       Cringe         Disney
tt0048280Walt Disney's Lady and the Tramp                                                                                        Yes       Good           Disney
tt0034492Walt Disney's Masterpiece Bambi                                                                                         Yes       Good           Disney
tt0032910Walt Disney's Masterpiece Pinocchio                                                                                     Yes       Good           Disney
tt0029583Walt Disney's Masterpiece Snow White and the Seven Dwarves                                                              Yes       Good           Disney
tt0114898Waterworld                                                                                                              Yes       Good           SciFi
tt0207201What Women Want                                                                                                         Yes                      Comedy
tt0111693When a Man Loves a Woman                                                                                                No                       Estrogen
tt0098635When Harry Met Sally                                                                                                    Yes                      Comedy
tt0245562Windtalkers                                                                                                             No                       Testosterone
tt0120903X-Men                                                                                                                   Yes       Good           SciFi
         X-Men 1 Creators Choice                                                                                                 No                       Family
